238,Along With The Gods: The Tw…,"Dec 22, 2017",Well Go USA,Action,"$1,266,947","141,242"
239,McQueen,"Jul 20, 2018",Bleecker Street,Documentary,"$1,257,275","140,164"
240,The Seagull,"May 11, 2018",Sony Pictures Cla…,Drama,"$1,252,960","139,683"
241,The Hows of Us,"Sep 7, 2018",ABS-CBN,Drama,"$1,246,444","138,956"
242,Maria by Callas,"Nov 2, 2018",Sony Pictures Cla…,Documentary,"$1,230,392","137,167"
243,Mandy,"Sep 14, 2018",RLJ Entertainment,Thriller/Suspense,"$1,214,525","135,398"
244,Beautifully Broken,"Aug 24, 2018",ArtAffects,Drama,"$1,209,645","134,854"
245,Along with the Gods: The La…,"Aug 1, 2018",Well Go USA,Action,"$1,200,246","133,806"
246,Andhadhun,"Oct 5, 2018",Eros Entertainment,Multiple Genres,"$1,193,049","133,004"
247,Lean on Pete,"Apr 6, 2018",A24,Drama,"$1,163,056","129,660"
248,The Dawn Wall,"Sep 14, 2018",The Orchard,Documentary,"$1,037,023","115,610"
249,Wildlife,"Oct 19, 2018",IFC Films,Drama,"$1,024,845","114,252"
250,Raid,"Mar 16, 2018",Eros Entertainment,Drama,"$1,010,385","112,640"
251,The Insult,"Jan 12, 2018",Cohen Media Group,Drama,"$1,000,038","111,486"
252,Yellow Submarine,"Nov 13, 1968",United Artists,Musical,"$993,385","110,745"
253,Tiger Zinda Hai,"Dec 22, 2017",Yash Raj Films,Action,"$988,690","110,221"
254,Film Stars Donât Die in Liv…,"Dec 29, 2017",Sony Pictures Cla…,Drama,"$979,074","109,149"
255,The Miseducation of Cameron…,"Aug 3, 2018",FilmRise,Drama,"$905,111","100,904"
256,Schindlerâs List,"Dec 15, 1993",Universal,Drama,"$895,180","99,797"
257,Kedarnath,"Dec 7, 2018",PackYourBag Films,Drama,"$893,582","99,618"
258,The Star,"Nov 17, 2017",Sony Pictures,Adventure,"$884,046","98,555"
259,The Cakemaker,"Jun 29, 2018",Strand,Drama,"$874,584","97,501"
260,Tea with the Dames,"Sep 21, 2018",IFC Films,Documentary,"$867,903","96,756"
261,Let The Sunshine In,"Apr 27, 2018",Sundance Selects,Romantic Comedy,"$866,714","96,623"
262,Beast,"May 11, 2018",Roadside Attractions,Drama,"$800,365","89,226"
263,Sui Dhaaga: Made in India,"Sep 28, 2018",Yash Raj Films,Romantic Comedy,"$790,628","88,141"
264,Border,"Oct 26, 2018",Neon,Thriller/Suspense,"$771,930","86,056"
265,1945,"Nov 1, 2017",Menemsha Entertai…,Drama,"$762,018","84,951"
266,The Party,"Feb 16, 2018",Roadside Attractions,Drama,"$749,827","83,592"
